id,Team Name,Channel Name,Sender,Message,Time
,kubernetes,kubernetes-users,wesmorgan,"""but! I now realize that I was looking at docs for the nginxinc one and didn't even realize they were 2 different things. so thank you!""","Oct 26, 2017 14:34"
,kubernetes,kubernetes-users,Unknown,"""Hi @Channel I am trying to create a persistent Volume from a none default storageclass that can be shared between agents. I tried to modify kind: PersistentVolume apiVersion: v1 metadata: name: task-pv-volume-test labels: type: local spec: storageClassName: slow capacity: storage: 10Gi accessModes: - ReadWriteOnce hostPath: path: ""/tmp/data""""","Oct 26, 2017 14:45"
,kubernetes,kubernetes-users,kdockery,"""@U7Q1KJCG0 Does your manifest have the kind: PersistentVolume line uncommented, and without any dashes in front of it?""","Oct 26, 2017 14:53"
,kubernetes,kubernetes-users,hmdelnegro,"""does anyone here has implemeted kubernetes federation already ?""","Oct 26, 2017 14:56"
,kubernetes,kubernetes-users,acosta.dimitri,"""Hi there I need some help""","Oct 26, 2017 14:58"
,kubernetes,kubernetes-users,hmdelnegro,"""expose this with a service using NodePort / LoadBalancer.... or Ingress otherwise""","Oct 26, 2017 15:01"
,kubernetes,kubernetes-users,hmdelnegro,"""In case the clusters cant see to each other""","Oct 26, 2017 15:02"
,kubernetes,kubernetes-users,acosta.dimitri,"""But in my other cluster I don’t know how to look at it""","Oct 26, 2017 15:03"
,kubernetes,kubernetes-users,hmdelnegro,"""ok you are exposing nginx to port 80 in the worker node IP address""","Oct 26, 2017 15:03"
,kubernetes,kubernetes-users,mauilion,"""nodeport won't be 80 though""","Oct 26, 2017 15:04"
,kubernetes,kubernetes-users,hmdelnegro,"""higher than 30000 actualkly""","Oct 26, 2017 15:05"
,kubernetes,kubernetes-users,mauilion,"""kubectl get svc nginx-svc -n test""","Oct 26, 2017 15:05"
,kubernetes,kubernetes-users,hmdelnegro,"""Guys, I need some recommendations on how to get HA in multiple AZ.... I am about to choose Federation, but I need someone with more experience on this...""","Oct 26, 2017 15:07"
,kubernetes,kubernetes-users,Unknown,"""so I’ve been trying to learn k8s using kubernetes the hard way - used the original docs with GCP and that worked fine - now I’m trying with Ubuntu 16 LTS on Azure using Docker""","Oct 26, 2017 15:07"
,kubernetes,kubernetes-users,hmdelnegro,"""did you deployed the networking addon ?""","Oct 26, 2017 15:08"
,kubernetes,kubernetes-users,Unknown,"""E1026 22:03:50.476883       1 reflector.go:199] k8s.io/dns/vendor/k8s.io/client-go/tools/cache/reflector.go:94: Failed to list *v1.Service: Get https://10.210.0.1:443/api/v1/services?resourceVersion=0: dial tcp 10.210.0.1:443: i/o timeout
E1026 22:03:50.476932       1 reflector.go:199] k8s.io/dns/vendor/k8s.io/client-go/tools/cache/reflector.go:94: Failed to list *v1.Endpoints: Get https://10.210.0.1:443/api/v1/endpoints?resourceVersion=0: dial tcp 10.210.0.1:443: i/o timeout""","Oct 26, 2017 15:08"
,kubernetes,kubernetes-users,hmdelnegro,"""Waves or Flannel for example""","Oct 26, 2017 15:08"
,kubernetes,kubernetes-users,Unknown,"""following kubernetes the hard way approach""","Oct 26, 2017 15:08"
,kubernetes,kubernetes-users,acosta.dimitri,"""thanks @mauilion and @hmdelnegro""","Oct 26, 2017 15:09"
,kubernetes,kubernetes-users,hmdelnegro,"""dns issues are usually related to networking....""","Oct 26, 2017 15:09"
,kubernetes,kubernetes-users,Unknown,"""$ kubectl logs kube-dns-7797cb8758-cx2rs -n kube-system sidecar
ERROR: logging before flag.Parse: I1026 21:33:17.409869       1 main.go:48] Version v1.14.3-4-gee838f6
ERROR: logging before flag.Parse: I1026 21:33:17.409967       1 server.go:45] Starting server (options {DnsMasqPort:53 DnsMasqAddr:127.0.0.1 DnsMasqPollIntervalMs:5000 Probes:[{Label:kubedns Server:127.0.0.1:10053 Name:kubernetes.default.svc.cluster.local. Interval:5s Type:1} {Label:dnsmasq Server:127.0.0.1:53 Name:kubernetes.default.svc.cluster.local. Interval:5s Type:1}] PrometheusAddr:0.0.0.0 PrometheusPort:10054 PrometheusPath:/metrics PrometheusNamespace:kubedns})
ERROR: logging before flag.Parse: I1026 21:33:17.410003       1 dnsprobe.go:75] Starting dnsProbe {Label:kubedns Server:127.0.0.1:10053 Name:kubernetes.default.svc.cluster.local. Interval:5s Type:1}
ERROR: logging before flag.Parse: I1026 21:33:17.410080       1 dnsprobe.go:75] Starting dnsProbe {Label:dnsmasq Server:127.0.0.1:53 Name:kubernetes.default.svc.cluster.local. Interval:5s Type:1}
ERROR: logging before flag.Parse: W1026 21:48:02.659312       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:33876->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1026 21:48:07.659838       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:57985->127.0.0.1:53: read: connection refused""","Oct 26, 2017 15:09"
,kubernetes,kubernetes-users,hmdelnegro,"""try running waves... k8s page has some example...""","Oct 26, 2017 15:09"
,kubernetes,kubernetes-users,acosta.dimitri,"""I did what you told me but it seems it didn’t work either""","Oct 26, 2017 15:10"
,kubernetes,kubernetes-users,Unknown,"""understand - but I also want to figure out why this is broken when the GCP version works fine without any issue""","Oct 26, 2017 15:10"
,kubernetes,kubernetes-users,hmdelnegro,"""Its installation probably includes these plugins...""","Oct 26, 2017 15:11"
